,title,genre_ids
8452,babysitting2,35
8392,babyteeth,"18,35,10749"
10483,bachelor,10764
9034,backdraft2,"28,80,18"
193,backinaction,"28,35"
9181,backofthenet,"18,10751"
10294,backroads,99
2143,backtoblack,"10402,36,18"
8976,backtoschool,35
801,backtothefuture,"12,35,878"
4874,backtotheoutback,"10751,16,12,35"
9633,backtrace,"80,28,12,53"
981,backupplan,"35,10749"
5143,bacurau,"9648,37,53"
658,badboys,"28,35,80,53"
1922,badboysforlife,"53,28,80"
1196,badboysii,"28,80,35"
252,badboysrideordie,"28,35,80,53,12"
2476,badcountry,"18,28,80"
8385,badeducation,"18,80,36"
5839,badguys,"10751,16,12,35,80"
5084,badguysaverybadhol,"16,35,10751,28"
4176,badguyshauntedheis,"16,35"
8358,badguysreignofchao,"28,80"
9492,badhaaiho,"35,10749,18"
1755,badinfluence,"18,53,10749"
9054,badla,"80,53,9648,18"
8553,badland,37
4504,badlandhunters,"878,28"
8215,badmatch,"27,53"
4837,badmoms,35
7131,badmomschristmas,35
5929,badnewsbears,35
7542,badpoet,"36,18"
3429,badsamaritan,"53,80,27,18"
7826,badsanta,"18,35,80"
3500,badsanta2,"35,80,9648"
7772,badseed,"18,27,53,10770"
5190,badseeds,35
6294,badsister,"53,10770"
8345,badtales,18
925,badteacher,35
9263,badtimesattheelroy,"53,9648,80,18"
4988,badtrip,35
3331,badwords,35
10425,baftaawards,10764
2856,baggageclaim,"10749,35"
7530,baggiothedivinepon,18
4815,baghead,27
392,bagman,"27,53"
9986,bahhumduckalooneyt,"16,35,10751"
9308,bahubali2theconclu,"28,12,14"
2955,baker,"28,18,80"
4284,bakihanmavskengana,"16,28,14"
4860,balkanline,"18,28,10752"
2951,balladofbusterscru,"37,35,18,10402,9648,10749"
5104,ballerina,"16,12,35,10751"
9719,balloon,"53,18,36"
8346,ballsygirl,35
582,baltimorons,"35,18"
1703,bambagysle,99
1285,bambi,"16,18,10751"
9682,bananasplit,35
8997,bananasplitsmovie,"27,35,53"
4558,bandidas,"28,35,37,80"
6565,bandit,"80,18,53"
5752,bandslam,"35,18,10751,10402,10749"
5209,bangkokdangerous,"28,80,53"
2522,bangkokwehaveaprob,"12,35"
